handle,possibly_sensitive_avg_of_nonreply_tweets,is_retweet_avg_of_nonreply_tweets,contains_quote_avg_of_nonreply_tweets,num_referenced_tweets_avg_of_nonreply_tweets,num_hashtags_avg_of_nonreply_tweets,num_mentions_avg_of_nonreply_tweets,num_cashtags_avg_of_nonreply_tweets,num_polls_avg_of_nonreply_tweets,interaction_score_avg_of_nonreply_tweets,lang_mode_of_nonreply_tweets,reply_settings_mode_of_nonreply_tweets,source_mode_of_nonreply_tweets,possibly_sensitive_avg_of_reply_tweets,is_retweet_avg_of_reply_tweets,contains_quote_avg_of_reply_tweets,num_referenced_tweets_avg_of_reply_tweets,num_hashtags_avg_of_reply_tweets,num_mentions_avg_of_reply_tweets,num_cashtags_avg_of_reply_tweets,num_polls_avg_of_reply_tweets,tweet_word_count_avg_of_reply_tweets,lang_mode_of_reply_tweets,reply_settings_mode_of_reply_tweets,source_mode_of_reply_tweets,replyPercentage,following_count,verified,protected,created_at,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
MODPizza,0.0,0.14160401002506265,0.21177944862155387,0.5300751879699248,0.3383458646616541,0.44862155388471175,0.0,0.005012531328320802,0.011893543895369577,en,everyone,Twitter Web App,0.0,0.0125,0.0625,0.85,0.0625,0.975,0.0,0.0,12.0125,en,everyone,Sprout Social,0.775,227,True,False,2010-01-28T01:55:48.000Z,False,0,0,1,0,0
MOOYAHBurgers,0.0,0.5213454075032341,0.015523932729624839,0.5575679172056921,3.22509702457956,1.107373868046572,0.0,0.01164294954721863,0.0004924289375766314,en,everyone,Twitter for iPhone,0.0,0.0125,0.05,0.5125,0.0625,0.5375,0.0,0.0,10.0375,en,everyone,Twitter Web App,0.45,307,False,False,2009-04-04T14:41:48.000Z,False,1,0,1,0,0
Maggianos,0.0,0.025094102885821833,0.03513174404015056,0.07151819322459223,0.533249686323714,0.07151819322459223,0.0,0.005018820577164366,0.00029807762908195287,en,everyone,Khoros Publishing,0.0,0.0,0.0,1.0,0.0125,0.9875,0.0,0.0,24.4375,en,everyone,Khoros CX,1.0,13349,True,False,2009-02-27T18:37:01.000Z,False,0,0,1,0,0
MarcosPizza,0.0,0.10998735777496839,0.01643489254108723,0.14664981036662453,0.5372945638432364,0.27686472819216185,0.0,0.012642225031605562,0.0008385199275934009,en,everyone,Hootsuite,0.0,0.0,0.0,1.0,0.0375,1.15,0.0,0.0,21.9125,en,everyone,Twitter Web App,1.0,3181,True,False,2009-06-25T18:14:51.000Z,True,0,0,1,0,0
McAlistersDeli,0.0,0.06125,0.00875,0.07875,1.0025,0.18,0.0,0.06,0.00040425716266170023,en,everyone,Twitter Web App,0.0,0.0,0.0,0.925,0.0,1.0375,0.0,0.0,11.5125,en,everyone,Sprout Social,0.925,24977,True,False,2009-03-05T20:08:41.000Z,False,0,1,1,0,0
McDonalds,0.0,0.06516290726817042,0.05137844611528822,0.2882205513784461,0.45864661654135336,0.36967418546365916,0.0,0.03508771929824561,0.0065263386882778805,en,everyone,Twitter Web App,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.8625,en,everyone,Sprinklr,1.0,13543,True,False,2009-09-02T17:46:43.000Z,True,0,0,0,0,1
MellowMushroom,0.0,0.33080808080808083,0.01893939393939394,0.36237373737373735,0.7828282828282829,0.827020202020202,0.0,0.039141414141414144,0.01420312006203303,en,everyone,Twitter Web Client,0.0,0.15,0.05,0.7875,0.4,1.2125,0.0,0.0,15.825,en,everyone,Twitter for iPhone,0.5875,8894,True,False,2009-03-26T01:35:57.000Z,False,0,0,1,0,0
MillersAleHouse,0.0,0.10075566750629723,0.09445843828715365,0.1977329974811083,0.783375314861461,0.2707808564231738,0.0,0.0163727959697733,0.01476245948877389,en,everyone,Sprout Social,0.0,0.0125,0.0,0.925,0.025,1.2,0.0,0.0,11.4125,en,everyone,Sprout Social,0.9125,684,True,False,2009-03-16T17:57:49.000Z,False,0,1,1,0,0
Moes_HQ,0.0,0.03375,0.08,0.1275,0.2375,0.11125,0.0,0.015,0.006812894730937883,en,everyone,Twitter for iPhone,0.0,0.0,0.0,0.9125,0.0125,1.1125,0.0,0.0125,9.6,en,everyone,Sprout Social,0.9125,48283,True,False,2009-10-21T13:00:28.000Z,False,0,0,1,0,0
OCharleys,0.0,0.1561712846347607,0.09445843828715365,0.26448362720403024,0.2947103274559194,0.3879093198992443,0.0,0.0025188916876574307,0.0010758546434110532,en,everyone,Twitter for iPhone,0.0,0.1,0.0,0.8375,0.075,1.1875,0.0,0.0,28.8,en,everyone,Twitter for iPhone,0.7375,2602,True,False,2011-09-21T13:20:07.000Z,False,0,0,1,0,0
